name,description,lon,lat
belkin.c81.guests,BSSID: <b>ec:1a:59:36:9c:82</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393097440000</b><br/>Date: <b>2014-02-22 14:30:40</b>,-82.40045658148146,34.85001715363208
HYATT-GUEST,BSSID: <b>0c:68:03:cb:ea:20</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096338000</b><br/>Date: <b>2014-02-22 14:12:18</b>,-82.39768987258839,34.852284404143546
BJJordan-guest,BSSID: <b>26:aa:4b:fa:eb:11</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2432</b><br/>Timestamp: <b>1393096590999</b><br/>Date: <b>2014-02-22 14:16:30</b>,-82.39750737003996,34.852378853216955
HYATT-GUEST,BSSID: <b>0c:68:03:cb:ea:50</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096581999</b><br/>Date: <b>2014-02-22 14:16:21</b>,-82.39734655337107,34.85234003783374
RIVERFALLS-guest,BSSID: <b>c0:c1:c0:a8:a4:2f</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097615999</b><br/>Date: <b>2014-02-22 14:33:35</b>,-82.39987657426077,34.84895646704275
RichGiraffe-guest,BSSID: <b>58:6d:8f:af:be:40</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096939000</b><br/>Date: <b>2014-02-22 14:22:19</b>,-82.39783838729241,34.85308522901132
HP-Print-FE-Photosmart 5520,BSSID: <b>a0:b3:cc:d7:ee:fe</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097894000</b><br/>Date: <b>2014-02-22 14:38:14</b>,-82.40099310218595,34.84647093435201
Westin Poinsett Greenville,BSSID: <b>a4:56:30:46:81:10</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097493000</b><br/>Date: <b>2014-02-22 14:31:33</b>,-82.40029141306877,34.84964594005677
LovelaceSearch-guest,BSSID: <b>c0:c1:c0:a9:66:9f</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096647999</b><br/>Date: <b>2014-02-22 14:17:27</b>,-82.3980038857094,34.85259577553717
OD-GUEST,BSSID: <b>d4:d7:48:45:e2:54</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096743000</b><br/>Date: <b>2014-02-22 14:19:03</b>,-82.3976724261744,34.85354858262493
OD-TEST,BSSID: <b>d4:d7:48:45:e2:55</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096784000</b><br/>Date: <b>2014-02-22 14:19:44</b>,-82.39763262632869,34.85394899425103
Nose Dive Public,BSSID: <b>00:15:6d:4c:a7:53</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2452</b><br/>Timestamp: <b>1393098645000</b><br/>Date: <b>2014-02-22 14:50:45</b>,-82.39993906730818,34.848212418379454
Westin Poinsett Greenville,BSSID: <b>a4:56:30:15:c0:30</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>0</b><br/>Date: <b>1969-12-31 19:00:00</b>,-82.39712064176818,34.84603000822891
